cpu_name,launch_date,total_cores,max_turbo_frequency,processor_base_frequency,cache,tdp
Intel® Celeron® Processor 4305UE,Q3'18,2,,2.00 GHz,2 MB Intel® Smart Cache,15.0
Intel® Core™ i3-8145UE Processor,Q3'18,2,3.90 GHz,2.20 GHz,4 MB Intel® Smart Cache,15.0
Intel® Core™ i5-8365UE Processor,Q3'18,4,4.10 GHz,1.60 GHz,6 MB Intel® Smart Cache,15.0
Intel® Core™ i7-8665UE Processor,Q3'18,4,4.40 GHz,1.70 GHz,8 MB Intel® Smart Cache,15.0
Intel® Core™ i3-8100B Processor,Q3'18,4,,3.60 GHz,6 MB Intel® Smart Cache,65.0
Intel Atom® Processor C3336,Q3'18,2,,1.50 GHz,4 MB,11.0
Intel® Core™ i5-8210Y Processor,Q1'19,2,3.60 GHz,1.60 GHz,4 MB Intel® Smart Cache,7.0
Intel® Core™ i3-8145U Processor,Q3'18,2,3.90 GHz,2.10 GHz,4 MB Intel® Smart Cache,15.0
Intel® Core™ i5-8200Y Processor,Q3'18,2,3.90 GHz,1.30 GHz,4 MB Intel® Smart Cache,5.0
Intel® Core™ i5-8265U Processor,Q3'18,4,3.90 GHz,1.60 GHz,6 MB Intel® Smart Cache,15.0
Intel® Core™ i7-8500Y Processor,Q1'19,2,4.20 GHz,1.50 GHz,4 MB Intel® Smart Cache,5.0
Intel® Core™ i7-8565U Processor,Q3'18,4,4.60 GHz,1.80 GHz,8 MB Intel® Smart Cache,15.0
Intel® Core™ m3-8100Y Processor,Q3'18,2,3.40 GHz,1.10 GHz,4 MB Intel® Smart Cache,5.0
Intel® Xeon® E-2124 Processor,Q3'18,4,4.30 GHz,3.30 GHz,8 MB Intel® Smart Cache,71.0
Intel® Xeon® E-2124G Processor,Q3'18,4,4.50 GHz,3.40 GHz,8 MB Intel® Smart Cache,71.0
Intel® Xeon® E-2126G Processor,Q3'18,6,4.50 GHz,3.30 GHz,12 MB Intel® Smart Cache,80.0
Intel® Xeon® E-2134 Processor,Q3'18,4,4.50 GHz,3.50 GHz,8 MB Intel® Smart Cache,71.0
Intel® Xeon® E-2136 Processor,Q3'18,6,4.50 GHz,3.30 GHz,12 MB Intel® Smart Cache,80.0
Intel® Xeon® E-2144G Processor,Q3'18,4,4.50 GHz,3.60 GHz,8 MB Intel® Smart Cache,71.0
Intel® Xeon® E-2146G Processor,Q3'18,6,4.50 GHz,3.50 GHz,12 MB Intel® Smart Cache,80.0
Intel® Xeon® E-2174G Processor,Q3'18,4,4.70 GHz,3.80 GHz,8 MB Intel® Smart Cache,71.0
Intel® Xeon® E-2186G Processor,Q3'18,6,4.70 GHz,3.80 GHz,12 MB Intel® Smart Cache,95.0
Intel® Core™ i7-8086K Processor,Q2'18,6,5.00 GHz,4.00 GHz,12 MB Intel® Smart Cache,95.0
Intel® Xeon® Gold 6138P Processor,Q2'18,20,3.70 GHz,2.00 GHz,27.5 MB L3 Cache,195.0
Intel® Celeron® G4900 Processor,Q2'18,2,,3.10 GHz,2 MB Intel® Smart Cache,54.0
Intel® Celeron® G4900T Processor,Q2'18,2,,2.90 GHz,2 MB Intel® Smart Cache,35.0
Intel® Celeron® G4920 Processor,Q2'18,2,,3.20 GHz,2 MB Intel® Smart Cache,54.0
Intel® Core™ i3-8100T Processor,Q2'18,4,,3.10 GHz,6 MB Intel® Smart Cache,35.0
Intel® Core™ i3-8109U Processor,Q2'18,2,3.60 GHz,3.00 GHz,4 MB Intel® Smart Cache,28.0
Intel® Core™ i3-8300 Processor,Q2'18,4,,3.70 GHz,8 MB Intel® Smart Cache,62.0
Intel® Core™ i3-8300T Processor,Q2'18,4,,3.20 GHz,8 MB Intel® Smart Cache,35.0
Intel® Core™ i5-8259U Processor,Q2'18,4,3.80 GHz,2.30 GHz,6 MB Intel® Smart Cache,28.0
Intel® Core™ i5-8269U Processor,Q2'18,4,4.20 GHz,2.60 GHz,6 MB Intel® Smart Cache,28.0
"Intel® Core™ i5+8400 Processor  (9M Cache, up to 4.00 GHz) includes Intel® Optane™ Memory",Q2'18,6,4.00 GHz,2.80 GHz,9 MB Intel® Smart Cache,65.0
Intel® Core™ i5-8400T Processor,Q2'18,6,3.30 GHz,1.70 GHz,9 MB Intel® Smart Cache,35.0
Intel® Core™ i5-8500 Processor,Q2'18,6,4.10 GHz,3.00 GHz,9 MB Intel® Smart Cache,65.0
"Intel® Core™ i5+8500 Processor  (9M Cache, up to 4.10 GHz) includes Intel® Optane™ Memory",Q2'18,6,4.10 GHz,3.00 GHz,9 MB Intel® Smart Cache,65.0
Intel® Core™ i5-8500T Processor,Q2'18,6,3.50 GHz,2.10 GHz,9 MB Intel® Smart Cache,35.0
Intel® Core™ i5-8600 Processor,Q2'18,6,4.30 GHz,3.10 GHz,9 MB Intel® Smart Cache,65.0
Intel® Core™ i5-8600T Processor,Q2'18,6,3.70 GHz,2.30 GHz,9 MB Intel® Smart Cache,35.0
Intel® Core™ i7-8559U Processor,Q2'18,4,4.50 GHz,2.70 GHz,8 MB Intel® Smart Cache,28.0
"Intel® Core™ i7+8700 Processor  (12M Cache, up to 4.60 GHz) includes Intel® Optane™ Memory",Q2'18,6,4.60 GHz,3.20 GHz,12 MB Intel® Smart Cache,65.0
Intel® Core™ i7-8700T Processor,Q2'18,6,4.00 GHz,2.40 GHz,12 MB Intel® Smart Cache,35.0
Intel® Pentium® Gold G5400 Processor,Q2'18,2,,3.70 GHz,4 MB Intel® Smart Cache,58.0
Intel® Pentium® Gold G5400T Processor,Q2'18,2,,3.10 GHz,4 MB Intel® Smart Cache,35.0
Intel® Pentium® Gold G5500 Processor,Q2'18,2,,3.80 GHz,4 MB Intel® Smart Cache,54.0
Intel® Pentium® Gold G5500T Processor,Q2'18,2,,3.20 GHz,4 MB Intel® Smart Cache,35.0
Intel® Pentium® Gold G5600 Processor,Q2'18,2,,3.90 GHz,4 MB Intel® Smart Cache,54.0
Intel® Core™ i5-8300H Processor,Q2'18,4,4.00 GHz,2.30 GHz,8 MB Intel® Smart Cache,45.0
Intel® Core™ i5-8400B Processor,Q2'18,6,4.00 GHz,2.80 GHz,9 MB Intel® Smart Cache,65.0
Intel® Core™ i5-8400H Processor,Q2'18,4,4.20 GHz,2.50 GHz,8 MB Intel® Smart Cache,45.0
Intel® Core™ i5-8500B Processor,Q2'18,6,4.10 GHz,3.00 GHz,9 MB Intel® Smart Cache,65.0
Intel® Core™ i7-8700B Processor,Q2'18,6,4.60 GHz,3.20 GHz,12 MB Intel® Smart Cache,65.0
Intel® Core™ i7-8750H Processor,Q2'18,6,4.10 GHz,2.20 GHz,9 MB Intel® Smart Cache,45.0
Intel® Core™ i7-8850H Processor,Q2'18,6,4.30 GHz,2.60 GHz,9 MB Intel® Smart Cache,45.0
Intel® Core™ i9-8950HK Processor,Q2'18,6,4.80 GHz,2.90 GHz,12 MB Intel® Smart Cache,45.0
Intel® Xeon® E-2176M Processor,Q2'18,6,4.40 GHz,2.70 GHz,12 MB Intel® Smart Cache,45.0
Intel® Xeon® E-2186M Processor,Q2'18,6,4.80 GHz,2.90 GHz,12 MB Intel® Smart Cache,45.0
Intel® Core™ i3-7020U Processor,Q2'18,2,,2.30 GHz,3 MB Intel® Smart Cache,15.0
Intel® Core™ i3-8130U Processor,Q1'18,2,3.40 GHz,2.20 GHz,4 MB Intel® Smart Cache,15.0
Intel® Xeon® D-2123IT Processor,Q1'18,4,3.00 GHz,2.20 GHz,8 MB,60.0
Intel® Xeon® D-2141I Processor,Q1'18,8,3.00 GHz,2.20 GHz,11 MB,65.0
Intel® Xeon® D-2142IT Processor,Q1'18,8,3.00 GHz,1.90 GHz,11 MB,65.0
Intel® Xeon® D-2143IT Processor,Q1'18,8,3.00 GHz,2.20 GHz,11 MB,65.0
Intel® Xeon® D-2145NT Processor,Q1'18,8,3.00 GHz,1.90 GHz,11 MB,65.0
Intel® Xeon® D-2146NT Processor,Q1'18,8,3.00 GHz,2.30 GHz,11 MB,80.0
Intel® Xeon® D-2161I Processor,Q1'18,12,3.00 GHz,2.20 GHz,16.5 MB L2 Cache,90.0
Intel® Xeon® D-2163IT Processor,Q1'18,12,3.00 GHz,2.10 GHz,17 MB,75.0
Intel® Xeon® D-2166NT Processor,Q1'18,12,3.00 GHz,2.00 GHz,17 MB,85.0
Intel® Xeon® D-2173IT Processor,Q1'18,14,3.00 GHz,1.70 GHz,19 MB,70.0
Intel® Xeon® D-2177NT Processor,Q1'18,14,3.00 GHz,1.90 GHz,19 MB,105.0
Intel® Xeon® D-2183IT Processor,Q1'18,16,3.00 GHz,2.20 GHz,22 MB,100.0
Intel® Xeon® D-2187NT Processor,Q1'18,16,3.00 GHz,2.00 GHz,22 MB,110.0
Intel® Core™ i3-8100H Processor,Q4'17,4,,3.00 GHz,6 MB Intel® Smart Cache,45.0
Intel® Core™ i5-9500TE Processor,Q4'17,6,3.60 GHz,2.20 GHz,9 MB,35.0
Intel® Xeon® E-2176G Processor,Q4'17,6,4.70 GHz,3.70 GHz,12 MB Intel® Smart Cache,80.0
Intel® Xeon Phi™ Processor 7235,Q4'17,64,1.40 GHz,1.30 GHz,32 MB L2 Cache,250.0
Intel® Xeon Phi™ Processor 7285,Q4'17,68,1.40 GHz,1.30 GHz,34 MB L2 Cache,250.0
Intel® Xeon Phi™ Processor 7295,Q4'17,72,1.60 GHz,1.50 GHz,36 MB L2 Cache,320.0
Intel® Celeron® J4005 Processor,Q4'17,2,,2.00 GHz,4 MB,10.0
Intel® Celeron® J4105 Processor,Q4'17,4,,1.50 GHz,4 MB,10.0
Intel® Celeron® Processor N4000,Q4'17,2,,1.10 GHz,4 MB,6.0
Intel® Celeron® Processor N4100,Q4'17,4,,1.10 GHz,4 MB,6.0
Intel® Pentium® Silver J5005 Processor,Q4'17,4,,1.50 GHz,4 MB,10.0
Intel® Pentium® Silver N5000 Processor,Q4'17,4,,1.10 GHz,4 MB,6.0
Intel® Core™ i3-8100 Processor,Q4'17,4,,3.60 GHz,6 MB Intel® Smart Cache,65.0
Intel® Core™ i3-8350K Processor,Q4'17,4,,4.00 GHz,8 MB Intel® Smart Cache,91.0
Intel® Core™ i5-8400 Processor,Q4'17,6,4.00 GHz,2.80 GHz,9 MB Intel® Smart Cache,65.0
Intel® Core™ i5-8600K Processor,Q4'17,6,4.30 GHz,3.60 GHz,9 MB Intel® Smart Cache,95.0
Intel® Core™ i7-8700 Processor,Q4'17,6,4.60 GHz,3.20 GHz,12 MB Intel® Smart Cache,65.0
Intel® Core™ i7-8700K Processor,Q4'17,6,4.70 GHz,3.70 GHz,12 MB Intel® Smart Cache,95.0
Intel® Core™ i9-7940X X-series Processor,Q3'17,14,4.30 GHz,3.10 GHz,19.25 MB,165.0
Intel® Core™ i9-7960X X-series Processor,Q3'17,16,4.20 GHz,2.80 GHz,22 MB,165.0
Intel® Core™ i9-7980XE Extreme Edition Processor,Q3'17,18,4.20 GHz,2.60 GHz,24.75 MB,165.0
Intel® Xeon® W-2125 Processor,Q3'17,4,4.50 GHz,4.00 GHz,8.25 MB,120.0
Intel® Xeon® W-2135 Processor,Q3'17,6,4.50 GHz,3.70 GHz,8.25 MB,140.0
Intel® Xeon® W-2145 Processor,Q3'17,8,4.50 GHz,3.70 GHz,11 MB,140.0
Intel® Xeon® W-2195 Processor,Q3'17,18,4.30 GHz,2.30 GHz,24.75 MB,140.0
Intel® Xeon® W-2123 Processor,Q3'17,4,3.90 GHz,3.60 GHz,8.25 MB,120.0
Intel® Xeon® W-2133 Processor,Q3'17,6,3.90 GHz,3.60 GHz,8.25 MB,140.0
Intel® Xeon® W-2155 Processor,Q3'17,10,4.50 GHz,3.30 GHz,13.75 MB,140.0
Intel® Xeon® W-2175 Processor,Q3'17,14,4.30 GHz,2.50 GHz,19 MB,140.0
Intel® Core™ i5-8250U Processor,Q3'17,4,3.40 GHz,1.60 GHz,6 MB Intel® Smart Cache,15.0
Intel® Core™ i5-8350U Processor,Q3'17,4,3.60 GHz,1.70 GHz,6 MB Intel® Smart Cache,15.0
Intel® Core™ i7-8550U Processor,Q3'17,4,4.00 GHz,1.80 GHz,8192,15.0
Intel® Core™ i7-8650U Processor,Q3'17,4,4.20 GHz,1.90 GHz,8 MB Intel® Smart Cache,15.0
Intel Atom® Processor C3308,Q3'17,2,2.10 GHz,1.60 GHz,4 MB,9.5
Intel Atom® Processor C3508,Q3'17,4,1.60 GHz,1.60 GHz,8 MB,11.5
Intel Atom® Processor C3538,Q3'17,4,2.10 GHz,2.10 GHz,8 MB,15.0
Intel Atom® Processor C3558,Q3'17,4,2.20 GHz,2.20 GHz,8 MB,16.0
Intel Atom® Processor C3708,Q3'17,8,1.70 GHz,1.70 GHz,16 MB,17.0
Intel Atom® Processor C3750,Q3'17,8,2.40 GHz,2.20 GHz,16 MB,21.0
Intel Atom® Processor C3758,Q3'17,8,2.20 GHz,2.20 GHz,16 MB,25.0
Intel Atom® Processor C3808,Q3'17,12,2.00 GHz,2.00 GHz,12 MB,25.0
Intel Atom® Processor C3830,Q3'17,12,2.30 GHz,1.90 GHz,12 MB,21.5
Intel Atom® Processor C3850,Q3'17,12,2.40 GHz,2.10 GHz,12 MB,25.0
Intel Atom® Processor C3858,Q3'17,12,2.00 GHz,2.00 GHz,12 MB,25.0
Intel Atom® Processor C3950,Q3'17,16,2.20 GHz,1.70 GHz,16 MB,24.0
Intel Atom® Processor C3955,Q3'17,16,2.40 GHz,2.10 GHz,16 MB,32.0
Intel Atom® Processor C3958,Q3'17,16,2.00 GHz,2.00 GHz,16 MB,31.0
Intel® Xeon® Processor E3-1285 v6,Q3'17,4,4.50 GHz,4.10 GHz,8 MB Intel® Smart Cache,79.0
Intel® Core™ i9-7920X X-series Processor,Q3'17,12,4.30 GHz,2.90 GHz,16.5 MB L3 Cache,140.0
Intel® Xeon® Processor D-1513N,Q3'17,4,2.20 GHz,1.60 GHz,6 MB,35.0
Intel® Xeon® Processor D-1523N,Q3'17,4,2.60 GHz,2.00 GHz,6 MB,45.0
Intel® Xeon® Processor D-1533N,Q3'17,6,2.70 GHz,2.10 GHz,9 MB,45.0
Intel® Xeon® Processor D-1543N,Q3'17,8,2.50 GHz,1.90 GHz,12 MB,45.0
Intel® Xeon® Processor D-1553N,Q3'17,8,2.70 GHz,2.30 GHz,12 MB,65.0
Intel® Xeon® Bronze 3104 Processor,Q3'17,6,,1.70 GHz,8.25 MB L3 Cache,85.0
Intel® Xeon® Bronze 3106 Processor,Q3'17,8,,1.70 GHz,11 MB L3 Cache,85.0
Intel® Xeon® Gold 5119T Processor,Q3'17,14,3.20 GHz,1.90 GHz,19.25 MB L3 Cache,85.0
Intel® Xeon® Gold 6126F Processor,Q3'17,12,3.70 GHz,2.60 GHz,19.25 MB L3 Cache,135.0
Intel® Xeon® Gold 6126T Processor,Q3'17,12,3.70 GHz,2.60 GHz,19.25 MB L3 Cache,125.0
Intel® Xeon® Gold 6130F Processor,Q3'17,16,3.70 GHz,2.10 GHz,22 MB L3 Cache,135.0
Intel® Xeon® Gold 6130T Processor,Q3'17,16,3.70 GHz,2.10 GHz,22 MB L3 Cache,125.0
Intel® Xeon® Gold 6132 Processor,Q3'17,14,3.70 GHz,2.60 GHz,19.25 MB L3 Cache,140.0
Intel® Xeon® Gold 6138F Processor,Q3'17,20,3.70 GHz,2.00 GHz,27.5 MB L3 Cache,135.0
Intel® Xeon® Gold 6138T Processor,Q3'17,20,3.70 GHz,2.00 GHz,27.5 MB L3 Cache,125.0
Intel® Xeon® Gold 6142F Processor,Q3'17,16,3.70 GHz,2.60 GHz,22 MB L3 Cache,160.0
Intel® Xeon® Platinum 8160F Processor,Q3'17,24,3.70 GHz,2.10 GHz,33 MB L3 Cache,160.0
Intel® Xeon® Platinum 8160T Processor,Q3'17,24,3.70 GHz,2.10 GHz,33 MB L3 Cache,150.0
Intel® Xeon® Platinum 8176F Processor,Q3'17,28,3.80 GHz,2.10 GHz,38.5 MB L3 Cache,173.0
Intel® Xeon® Silver 4108 Processor,Q3'17,8,3.00 GHz,1.80 GHz,11 MB L3 Cache,85.0
Intel® Xeon® Silver 4109T Processor,Q3'17,8,3.00 GHz,2.00 GHz,11 MB L3 Cache,70.0
Intel® Xeon® Silver 4110 Processor,Q3'17,8,3.00 GHz,2.10 GHz,11 MB L3 Cache,85.0
Intel® Xeon® Silver 4112 Processor,Q3'17,4,3.00 GHz,2.60 GHz,8.25 MB L3 Cache,85.0
Intel® Xeon® Silver 4114 Processor,Q3'17,10,3.00 GHz,2.20 GHz,13.75 MB L3 Cache,85.0
Intel® Xeon® Silver 4114T Processor,Q3'17,10,3.00 GHz,2.20 GHz,13.75 MB L3 Cache,85.0
Intel® Xeon® Silver 4116T Processor,Q3'17,12,3.00 GHz,2.10 GHz,16.5 MB L3 Cache,85.0
Intel® Xeon® Gold 5115 Processor,Q3'17,10,3.20 GHz,2.40 GHz,13.75 MB L3 Cache,85.0
Intel® Xeon® Gold 5118 Processor,Q3'17,12,3.20 GHz,2.3 GHz,16.5 MB L3 Cache,105.0
Intel® Xeon® Gold 5120 Processor,Q3'17,14,3.20 GHz,2.20 GHz,19.25 MB L3 Cache,105.0
Intel® Xeon® Gold 5120T Processor,Q3'17,14,3.20 GHz,2.20 GHz,19.25 MB L3 Cache,105.0
Intel® Xeon® Gold 5122 Processor,Q3'17,4,3.70 GHz,3.60 GHz,16.5 MB L3 Cache,105.0
Intel® Xeon® Gold 6126 Processor,Q3'17,12,3.70 GHz,2.60 GHz,19.25 MB L3 Cache,125.0
Intel® Xeon® Gold 6128 Processor,Q3'17,6,3.70 GHz,3.40 GHz,19.25 MB L3 Cache,115.0
Intel® Xeon® Gold 6130 Processor,Q3'17,16,3.70 GHz,2.10 GHz,22 MB L3 Cache,125.0
Intel® Xeon® Gold 6134 Processor,Q3'17,8,3.70 GHz,3.20 GHz,24.75 MB L3 Cache,130.0
Intel® Xeon® Gold 6136 Processor,Q3'17,12,3.70 GHz,3.00 GHz,24.75 MB L3 Cache,150.0
Intel® Xeon® Gold 6138 Processor,Q3'17,20,3.70 GHz,2.00 GHz,27.5 MB L3 Cache,125.0
Intel® Xeon® Gold 6140 Processor,Q3'17,18,3.70 GHz,2.30 GHz,24.75 MB L3 Cache,140.0
Intel® Xeon® Gold 6142 Processor,Q3'17,16,3.70 GHz,2.60 GHz,22 MB L3 Cache,150.0
Intel® Xeon® Gold 6144 Processor,Q3'17,8,4.20 GHz,3.50 GHz,24.75 MB L3 Cache,150.0
Intel® Xeon® Gold 6146 Processor,Q3'17,12,4.20 GHz,3.20 GHz,24.75 MB L3 Cache,165.0
Intel® Xeon® Gold 6148 Processor,Q3'17,20,3.70 GHz,2.40 GHz,27.5 MB L3 Cache,150.0
Intel® Xeon® Gold 6148F Processor,Q3'17,20,3.70 GHz,2.40 GHz,27.5 MB L3 Cache,160.0
Intel® Xeon® Gold 6150 Processor,Q3'17,18,3.70 GHz,2.70 GHz,24.75 MB L3 Cache,165.0
Intel® Xeon® Gold 6152 Processor,Q3'17,22,3.70 GHz,2.10 GHz,30.25 MB L3 Cache,140.0
Intel® Xeon® Gold 6154 Processor,Q3'17,18,3.70 GHz,3.00 GHz,24.75 MB L3 Cache,200.0
Intel® Xeon® Platinum 8153 Processor,Q3'17,16,2.80 GHz,2.00 GHz,22 MB L3 Cache,125.0
Intel® Xeon® Platinum 8156 Processor,Q3'17,4,3.70 GHz,3.60 GHz,16.5 MB L3 Cache,105.0
Intel® Xeon® Platinum 8158 Processor,Q3'17,12,3.70 GHz,3.00 GHz,24.75 MB L3 Cache,150.0
Intel® Xeon® Platinum 8160 Processor,Q3'17,24,3.70 GHz,2.10 GHz,33 MB L3 Cache,150.0
Intel® Xeon® Platinum 8164 Processor,Q3'17,26,3.70 GHz,2.00 GHz,35.75 MB L3 Cache,150.0
Intel® Xeon® Platinum 8168 Processor,Q3'17,24,3.70 GHz,2.70 GHz,33 MB L3 Cache,205.0
Intel® Xeon® Platinum 8170 Processor,Q3'17,26,3.70 GHz,2.10 GHz,35.75 MB L3 Cache,165.0
Intel® Xeon® Platinum 8176 Processor,Q3'17,28,3.80 GHz,2.10 GHz,38.5 MB L3 Cache,165.0
Intel® Xeon® Platinum 8180 Processor,Q3'17,28,3.80 GHz,2.50 GHz,38.5 MB L3 Cache,205.0
Intel® Xeon® Silver 4116 Processor,Q3'17,12,3.00 GHz,2.10 GHz,16.5 MB L3 Cache,85.0
Intel Atom® Processor C2316,Q3'17,2,,1.50 GHz,1 MB,7.0
Intel Atom® Processor C2516,Q3'17,4,,1.40 GHz,2 MB,10.0
Intel® Celeron® Processor 3965Y,Q2'17,2,,1.50 GHz,2 MB Intel® Smart Cache,6.0
Intel® Pentium® Gold Processor 4415Y,Q2'17,2,,1.60 GHz,2 MB Intel® Smart Cache,6.0
Intel® Celeron® Processor G3930E,Q2'17,2,,2.90 GHz,2 MB,54.0
Intel® Celeron® Processor G3930TE,Q2'17,2,,2.70 GHz,2 MB,35.0
Intel® Core™ i3-7130U Processor,Q2'17,2,,2.70 GHz,3 MB Intel® Smart Cache,15.0
Intel® Core™ i5-7640X X-series Processor,Q2'17,4,4.20 GHz,4.00 GHz,6 MB,112.0
Intel® Core™ i7-7740X X-series Processor,Q2'17,4,4.50 GHz,4.30 GHz,8 MB,112.0
Intel® Core™ i7-7800X X-series Processor,Q2'17,6,4.00 GHz,3.50 GHz,8.25 MB L3 Cache,140.0
Intel® Core™ i7-7820X X-series Processor,Q2'17,8,4.30 GHz,3.60 GHz,11 MB L3 Cache,140.0
Intel® Core™ i9-7900X X-series Processor,Q2'17,10,4.30 GHz,3.30 GHz,13.75 MB L3 Cache,140.0
Intel® Itanium® Processor 9720,Q2'17,4,,1.73 GHz,20 MB,130.0
Intel® Itanium® Processor 9740,Q2'17,8,,2.13 GHz,24 MB,170.0
Intel® Itanium® Processor 9750,Q2'17,4,,2.53 GHz,32 MB,170.0
Intel® Itanium® Processor 9760,Q2'17,8,,2.66 GHz,32 MB,170.0
Intel® Core™ m3-7Y32 Processor,Q2'17,2,3.00 GHz,1.10 GHz,4 MB Intel® Smart Cache,4.5
Intel® Xeon® Processor E3-1220 v6,Q1'17,4,3.50 GHz,3.00 GHz,8 MB Intel® Smart Cache,72.0
Intel® Xeon® Processor E3-1240 v6,Q1'17,4,4.10 GHz,3.70 GHz,8 MB Intel® Smart Cache,72.0
Intel® Xeon® Processor E3-1245 v6,Q1'17,4,4.10 GHz,3.70 GHz,8 MB Intel® Smart Cache,73.0
Intel® Xeon® Processor E3-1225 v6,Q1'17,4,3.70 GHz,3.30 GHz,8 MB Intel® Smart Cache,73.0
Intel® Xeon® Processor E3-1230 v6,Q1'17,4,3.90 GHz,3.50 GHz,8 MB Intel® Smart Cache,72.0
Intel® Xeon® Processor E3-1270 v6,Q1'17,4,4.20 GHz,3.80 GHz,8 MB Intel® Smart Cache,72.0
Intel® Xeon® Processor E3-1275 v6,Q1'17,4,4.20 GHz,3.80 GHz,8 MB Intel® Smart Cache,73.0
Intel® Xeon® Processor E3-1280 v6,Q1'17,4,4.20 GHz,3.90 GHz,8 MB Intel® Smart Cache,72.0
Intel® Xeon® Processor E7-8894 v4,Q1'17,24,3.40 GHz,2.40 GHz,60 MB,165.0
Intel Atom® Processor C3338,Q1'17,2,2.20 GHz,1.50 GHz,4 MB,8.5
Intel® Celeron® Processor 3865U,Q1'17,2,,1.80 GHz,2 MB Intel® Smart Cache,15.0
Intel® Celeron® Processor 3965U,Q1'17,2,,2.20 GHz,2 MB Intel® Smart Cache,15.0
Intel® Celeron® Processor G3930,Q1'17,2,,2.90 GHz,2 MB,51.0
Intel® Celeron® Processor G3930T,Q1'17,2,,2.70 GHz,2 MB,35.0
Intel® Core™ i3-7100 Processor,Q1'17,2,,3.90 GHz,3 MB Intel® Smart Cache,51.0
Intel® Core™ i3-7100H Processor,Q1'17,2,,3.00 GHz,3 MB,35.0
Intel® Core™ i3-7100T Processor,Q1'17,2,,3.40 GHz,3 MB Intel® Smart Cache,35.0
Intel® Core™ i3-7101TE Processor,Q1'17,2,,3.40 GHz,3 MB Intel® Smart Cache,35.0
Intel® Core™ i3-7102E Processor,Q1'17,2,,2.10 GHz,3 MB,25.0
Intel® Core™ i3-7167U Processor,Q1'17,2,,2.80 GHz,3 MB,28.0
Intel® Core™ i3-7300 Processor,Q1'17,2,,4.00 GHz,4 MB Intel® Smart Cache,51.0
Intel® Core™ i3-7300T Processor,Q1'17,2,,3.50 GHz,4 MB Intel® Smart Cache,35.0
Intel® Core™ i3-7320 Processor,Q1'17,2,,4.10 GHz,4 MB Intel® Smart Cache,51.0
Intel® Core™ i3-7350K Processor,Q1'17,2,,4.20 GHz,4 MB Intel® Smart Cache,60.0
Intel® Core™ i5-7260U Processor,Q1'17,2,3.40 GHz,2.20 GHz,4 MB,15.0
Intel® Core™ i5-7267U Processor,Q1'17,2,3.50 GHz,3.10 GHz,4 MB,28.0
Intel® Core™ i5-7287U Processor,Q1'17,2,3.70 GHz,3.30 GHz,4 MB,28.0
Intel® Core™ i5-7300HQ Processor,Q1'17,4,3.50 GHz,2.50 GHz,6 MB,45.0
Intel® Core™ i5-7300U Processor,Q1'17,2,3.50 GHz,2.60 GHz,3 MB Intel® Smart Cache,15.0
Intel® Core™ i5-7360U Processor,Q1'17,2,3.60 GHz,2.30 GHz,4 MB,15.0
Intel® Core™ i5-7400 Processor,Q1'17,4,3.50 GHz,3.00 GHz,6 MB Intel® Smart Cache,65.0
Intel® Core™ i5-7440EQ Processor,Q1'17,4,3.60 GHz,2.90 GHz,6 MB,45.0
Intel® Core™ i5-7440HQ Processor,Q1'17,4,3.80 GHz,2.80 GHz,6 MB,45.0
Intel® Core™ i5-7442EQ Processor,Q1'17,4,2.90 GHz,2.10 GHz,6 MB,25.0
Intel® Core™ i5-7500 Processor,Q1'17,4,3.80 GHz,3.40 GHz,6 MB Intel® Smart Cache,65.0
Intel® Core™ i5-7500T Processor,Q1'17,4,3.30 GHz,2.70 GHz,6 MB Intel® Smart Cache,35.0
Intel® Core™ i5-7600 Processor,Q1'17,4,4.10 GHz,3.50 GHz,6 MB Intel® Smart Cache,65.0
Intel® Core™ i5-7600K Processor,Q1'17,4,4.20 GHz,3.80 GHz,6 MB Intel® Smart Cache,91.0
Intel® Core™ i5-7600T Processor,Q1'17,4,3.70 GHz,2.80 GHz,6 MB Intel® Smart Cache,35.0
Intel® Core™ i7-7560U Processor,Q1'17,2,3.80 GHz,2.40 GHz,4 MB,15.0
Intel® Core™ i7-7567U Processor,Q1'17,2,4.00 GHz,3.50 GHz,4 MB,28.0
Intel® Core™ i7-7660U Processor,Q1'17,2,4.00 GHz,2.50 GHz,4 MB,15.0
Intel® Core™ i7-7700 Processor,Q1'17,4,4.20 GHz,3.60 GHz,8 MB Intel® Smart Cache,65.0
Intel® Core™ i7-7700T Processor,Q1'17,4,3.80 GHz,2.90 GHz,8 MB Intel® Smart Cache,35.0
Intel® Core™ i7-7820EQ Processor,Q1'17,4,3.70 GHz,3.00 GHz,8 MB,45.0
Intel® Core™ i7-7820HQ Processor,Q1'17,4,3.90 GHz,2.90 GHz,8 MB,45.0
Intel® Pentium® Gold Processor 4415U,Q1'17,2,,2.30 GHz,2 MB Intel® Smart Cache,15.0
Intel® Pentium® Processor G4560,Q1'17,2,,3.50 GHz,3 MB,54.0
Intel® Pentium® Processor G4560T,Q1'17,2,,2.90 GHz,3 MB,35.0
Intel® Pentium® Processor G4600,Q1'17,2,,3.60 GHz,3 MB,51.0
Intel® Pentium® Processor G4600T,Q1'17,2,,3.00 GHz,3 MB,35.0
Intel® Pentium® Processor G4620,Q1'17,2,,3.70 GHz,3 MB,51.0
